;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
laurentian;Laurentian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
french_acadian;French Acadian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
anglo_acadian;Anglo Acadian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
valois;Valois;;;;;;;;;;;;;;;;;;;;;;;x;;;;
lindish;Lindish;;;;;;;;;;;;;;;;;;;;;;;x;;;;
handellandic;Handellandic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_laurentian;Afro Laurentian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_scandinavian;Afro Scandinavian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_dutch;Afro Dutch;;;;;;;;;;;;;;;;;;;;;;;x;;;;
frankish;Frankish;;;;;;;;;;;;;;;;;;;;;;;x;;;;
syrian;Syrian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
coptic;Coptic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
latin;Latin;;;;;;;;;;;;;;;;;;;;;;;x;;;;
welsh;Welsh;;;;;;;;;;;;;;;;;;;;;;;x;;;;
english;English;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ivernian;Ivernian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_gaelic;Afro Gaelic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
carolinian;Carolinian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_english;Afro English;;;;;;;;;;;;;;;;;;;;;;;x;;;;
lotharingian;Lotharingian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
rhenish;Rhenish;;;;;;;;;;;;;;;;;;;;;;;x;;;;
prussian;Prussian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
livonian;Livonian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
lusitanian;Lusitanian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_hispanic;Afro Hispanic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
rhaetian;Rhaetian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
north_german;Saxon;;;;;;;;;;;;;;;;;;;;;;;x;;;;
south_german;Austro-Bavarian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
czech;Bohemian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_germanic;Afro Germanic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
afro_italian;Afro Italian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ciarrassinese;Ciarrassinese;;;;;;;;;;;;;;;;;;;;;;;x;;;;
chibchan;Chibchan;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ukrainian;Ruthenian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
manchu;Jurchen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
sodralandic;Sodralandic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
belgian;Belgian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
illyrian;Illyrian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
carinthian;Carinthian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
frisian;Frisian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
aquitanian;Aquitanian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
burgundian;Burgundian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
septimanian;Septimanian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
catalan;Aragonese;;;;;;;;;;;;;;;;;;;;;;;x;;;;
norman_italian;Norman-Italian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
andalusian;Andalusian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
castilian;Castilian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
guianese;Guianese;;;;;;;;;;;;;;;;;;;;;;;x;;;;
romanian;Vlach;;;;;;;;;;;;;;;;;;;;;;;x;;;;
italian;Italian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
venetian;Venetian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
norman_sicilian;Norman-Sicilian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
